"","price","area","bedrooms","bathrooms","stories","mainroad","guestroom","basement","hotwaterheating","airconditioning","parking","prefarea","furnishingstatus"
"129",5873000,5500,3,1,3,"yes","yes","no","no","yes",1,"no","furnished"
"509",2590000,4400,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"471",3010000,5076,3,1,1,"no","no","no","no","no",0,"no","unfurnished"
"299",4200000,5800,3,1,1,"yes","no","no","yes","no",2,"no","semi-furnished"
"270",4375000,3900,3,1,2,"yes","no","no","no","no",0,"no","unfurnished"
"187",5110000,11410,2,1,2,"yes","no","no","no","no",0,"yes","furnished"
"307",4165000,4840,3,1,2,"yes","no","no","no","no",1,"no","semi-furnished"
"277",4305000,4400,2,1,1,"yes","no","no","no","no",1,"no","semi-furnished"
"494",2800000,3960,3,1,1,"yes","no","no","no","no",0,"no","furnished"
"330",3990000,3960,3,1,2,"yes","no","no","no","no",0,"no","furnished"
"37",8043000,7482,3,2,3,"yes","no","no","yes","no",1,"yes","furnished"
"105",6195000,5500,3,2,1,"yes","yes","yes","no","no",2,"yes","furnished"
"485",2870000,3040,2,1,1,"no","no","no","no","no",0,"no","unfurnished"
"382",3605000,4000,2,1,1,"yes","no","no","no","no",0,"yes","semi-furnished"
"326",4007500,3460,4,1,2,"yes","no","no","no","yes",0,"no","semi-furnished"
"536",2100000,3360,2,1,1,"yes","no","no","no","no",1,"no","unfurnished"
"422",3360000,4750,2,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"111",6090000,6600,3,1,1,"yes","yes","yes","no","no",2,"yes","semi-furnished"
"404",3500000,12944,3,1,1,"yes","no","no","no","no",0,"no","unfurnished"
"506",2653000,4000,3,1,2,"yes","no","no","no","yes",0,"no","unfurnished"
"343",3850000,7152,3,1,2,"yes","no","no","no","yes",0,"no","furnished"
"121",5950000,6540,3,1,1,"yes","yes","yes","no","no",2,"yes","furnished"
"40",7910000,6000,4,2,4,"yes","no","no","no","yes",1,"no","semi-furnished"
"375",3640000,3520,2,2,1,"yes","no","yes","no","no",0,"no","semi-furnished"
"248",4550000,8400,4,1,4,"yes","no","no","no","no",3,"no","unfurnished"
"198",4956000,2800,3,2,2,"no","no","yes","no","yes",1,"no","semi-furnished"
"378",3640000,2850,3,2,2,"no","no","yes","no","no",0,"yes","unfurnished"
"39",7962500,6000,3,1,4,"yes","yes","no","no","yes",2,"no","unfurnished"
